2018-11-04 14:03:54.6969| Debug | Quartz.Simpl.TaskSchedulingThreadPool.Initialize | TaskSchedulingThreadPool configured with max concurrency of 10 and TaskScheduler ThreadPoolTaskScheduler.
2018-11-04 14:03:55.1061| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-04 14:03:55.1061| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-04 14:03:55.1589| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.04cc5072-8c61-4558-a077-37b99a1232d7', class=WebApi.Cron.CronTareaMinuto
2018-11-04 14:03:55.1589| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.04cc5072-8c61-4558-a077-37b99a1232d7', class=WebApi.Cron.CronTareaMinuto
2018-11-04 14:03:56.4264| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-04 14:03:56.4394| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.04cc5072-8c61-4558-a077-37b99a1232d7
2018-11-04 14:03:56.4394| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.04cc5072-8c61-4558-a077-37b99a1232d7
2018-11-04 14:03:56.4264| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-04 14:03:56.5012| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.eedb85af-af88-4a9d-8806-da3b1fe48204', class=WebApi.Cron.CronTareaHora
2018-11-04 14:03:56.5012| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.eedb85af-af88-4a9d-8806-da3b1fe48204', class=WebApi.Cron.CronTareaHora
2018-11-04 14:03:56.5147| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-04 14:03:56.5147| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-04 14:03:56.5787| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.eedb85af-af88-4a9d-8806-da3b1fe48204
2018-11-04 14:03:56.5787| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.eedb85af-af88-4a9d-8806-da3b1fe48204
2018-11-04 14:03:56.5787| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-04 14:03:56.5787| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-04 14:04:02.4136| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-04 14:04:02.4136| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-04 14:04:25.6247| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-04 14:04:25.6247| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-04 14:04:54.9561| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.04cc5072-8c61-4558-a077-37b99a1232d7', class=WebApi.Cron.CronTareaMinuto
2018-11-04 14:04:54.9561| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.04cc5072-8c61-4558-a077-37b99a1232d7', class=WebApi.Cron.CronTareaMinuto
2018-11-04 14:04:55.5537| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.04cc5072-8c61-4558-a077-37b99a1232d7
2018-11-04 14:04:55.5537| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.04cc5072-8c61-4558-a077-37b99a1232d7
2018-11-04 14:04:55.5666| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-04 14:04:55.5666| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-04 14:04:55.5537| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-04 14:04:55.5537| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
