2018-11-02 14:30:10.7647| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b', class=WebApiCrud.Controllers.CronTareaMinuto
2018-11-02 14:30:10.7647| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b', class=WebApiCrud.Controllers.CronTareaMinuto
2018-11-02 14:30:10.9328| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 14:30:10.9328| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 14:30:10.9757| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.bbba176e-06f3-4ae1-b5da-9dd154980638', class=WebApiCrud.Controllers.CronTareaHora
2018-11-02 14:30:10.9757| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.bbba176e-06f3-4ae1-b5da-9dd154980638', class=WebApiCrud.Controllers.CronTareaHora
2018-11-02 14:30:10.9757| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b
2018-11-02 14:30:10.9757| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b
2018-11-02 14:30:10.9757| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.bbba176e-06f3-4ae1-b5da-9dd154980638
2018-11-02 14:30:10.9757| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.bbba176e-06f3-4ae1-b5da-9dd154980638
2018-11-02 14:30:10.9757| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 14:30:10.9757| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 14:30:11.1182| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 14:30:11.1182| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 14:30:20.7554| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 14:30:20.7554| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 14:30:36.7640| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 14:30:36.7640| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 14:31:05.5089| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 14:31:05.5089| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 14:31:10.6779| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b', class=WebApiCrud.Controllers.CronTareaMinuto
2018-11-02 14:31:10.6779| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b', class=WebApiCrud.Controllers.CronTareaMinuto
2018-11-02 14:31:10.6779| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 14:31:10.6779| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 14:31:10.6779| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b
